source_id,source_kind,source_path,ocr_verified,plan_date,pub_date,price,zone_low,zone_high,primary_role,direction,major,tags,source,snippet
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6898,6898,6898,RESISTANCE_ONLY,resistance,true,major|resistance_only|target_reference,resistances are_list,Resistances are: 6898 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6898,6898,6898,RESISTANCE_ONLY,support,false,target_reference|resistance_only,narrative_sentence,"Targets are 6898, 6913, 6925-30, 6954."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6904,6904,6904,SUPPORT_LEVEL,support,false,defend_first|target_reference,narrative_sentence,"Bulls want to hold 6877 ideally (or quick trap below) and from there we see 6904, 6925, 6939, 6954 target."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6907,6907,6907,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6907
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6913,6913,6913,RESISTANCE_ONLY,resistance,true,major|resistance_only|target_reference,resistances are_list,Resistances are: 6913 (major)
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6913,6913,6913,RESISTANCE_ONLY,support,false,target_reference|resistance_only,narrative_sentence,"Targets are 6898, 6913, 6925-30, 6954."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6918,6918,6918,RESISTANCE_ONLY,resistance,false,resistance_only,resistances are_list,Resistances are: 6918
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6923,6923,6923,RESISTANCE_ONLY,support,false,target_reference|failed_breakdown_reclaim|resistance_only,narrative_sentence,"From there next leg targets 6876, 6893, 6923-26, then 6954."" We wasted no time on this yesterday getting to 6923-26 which was the exact high of day."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6923,6923,6923,RESISTANCE_ONLY,resistance,false,failed_breakdown_reclaim|resistance_only|target_reference,narrative_sentence,"Shortly after, ES put in a monster Failed Breakdown of Friday's 6808 low, and back up the levels we went to 6923 by 10am yesterday from which we topped out into today."
longer-mancini-logs-2,daily_plan_text,data/research/mancini/Longer Mancini Logs 2.txt,false,2026-02-20,2026-02-19,6925,6925,6930,RESISTANCE_ONLY,resistance,true,major|defend_first|target_reference|resistance_only,resistances are_list,Resistances are: 6925-30 (major)
